year,n_studies
2005,6
2006,2
2007,4
2008,11
2009,5
2010,12
2011,21
2012,21
2013,36
2014,42
2015,54
2016,71
2017,95
2018,116
2019,166
2020,180
2021,270
2022,227
2023,349
2024,259
2025,358
2026,115
